0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:50 +0200] "GET /activiti-rest/service/identity/groups?member=referent HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:50 +0200] "GET /activiti-rest/service/runtime/tasks?assignee=referent HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:50 +0200] "GET /activiti-rest/service/repository/process-definitions?key=phd HTTP/1.1" 200 6638
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:53 +0200] "GET /app/components/group/group.html HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:53 +0200] "GET /activiti-rest/service/identity/groups/katedra_racunarstva_referent HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:53 +0200] "GET /activiti-rest/service/repository/process-definitions?key=phd HTTP/1.1" 200 6638
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:53 +0200] "GET /activiti-rest/service/identity/groups?member=referent HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:53 +0200] "GET /activiti-rest/service/runtime/tasks?candidateGroup=katedra_racunarstva_referent HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:53 +0200] "GET /activiti-rest/service/runtime/process-instances/275023/variables/studentInfo HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:53 +0200] "POST /activiti-rest/service/runtime/tasks/275036 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:54 +0200] "GET /activiti-rest/service/repository/process-definitions?key=phd HTTP/1.1" 200 6638
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:54 +0200] "GET /activiti-rest/service/identity/groups?member=referent HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:22:54 +0200] "GET /activiti-rest/service/runtime/tasks?assignee=referent HTTP/1.1" 200 938
